sessionState,snapshotTimeMs,stepTimeMs,stepRateSPM,estStepPhaseN,beatTimeMs,playbackBPM,estBeatPhaseN,asyncMs,phaseDiffN,songNumber,songPosMs,baseBPM,newPlaybackBPM,newTempoMod,targetBPM,adaptTargetBPM
100,1773659924725,1773659924772,99.377625,-0.077846,-999999,-1.000000,-999999.000000,-160568477,-999999.000000,-1,-999999,-1.000000,120.000000,-1.000000,-1.000000,-1.000000
100,1773659925305,1773659925353,99.492531,-0.079594,-999999,-1.000000,-999999.000000,-160567896,-999999.000000,-1,-999999,-1.000000,120.000000,-1.000000,-1.000000,-1.000000
100,1773659925890,1773659925939,101.926491,-0.083240,-999999,-1.000000,-999999.000000,-160567310,-999999.000000,-1,-999999,-1.000000,120.000000,-1.000000,-1.000000,-1.000000
100,1773659926522,1773659926570,99.666359,-0.079733,-999999,-1.000000,-999999.000000,-160566679,-999999.000000,-1,-999999,-1.000000,120.000000,-1.000000,-1.000000,-1.000000
100,1773659927161,1773659927206,99.666359,-0.074750,-999999,-1.000000,-999999.000000,-160566043,-999999.000000,-1,-999999,-1.000000,120.000000,-1.000000,-1.000000,-1.000000
100,1773659927788,1773659927836,97.571442,-0.078057,-999999,-1.000000,-999999.000000,-160565413,-999999.000000,-1,-999999,-1.000000,120.000000,-1.000000,-1.000000,-1.000000
100,1773659928378,1773659928426,97.340057,-0.077872,-999999,-1.000000,-999999.000000,-160564823,-999999.000000,-1,-999999,-1.000000,120.000000,-1.000000,-1.000000,-1.000000
100,1773659928963,1773659929010,97.340057,-0.076250,-999999,-1.000000,-999999.000000,-160564239,-999999.000000,-1,-999999,-1.000000,120.000000,-1.000000,-1.000000,-1.000000
100,1773659929596,1773659929645,97.140404,-0.079331,-999999,-1.000000,-999999.000000,-160563604,-999999.000000,-1,-999999,-1.000000,120.000000,-1.000000,-1.000000,-1.000000
100,1773659930179,1773659930226,99.890907,-0.078248,-999999,-1.000000,-999999.000000,-160563023,-999999.000000,-1,-999999,-1.000000,120.000000,-1.000000,-1.000000,-1.000000
100,1773659930770,1773659930817,101.985832,-0.079889,-999999,-1.000000,-999999.000000,-160562432,-999999.000000,-1,-999999,-1.000000,120.000000,-1.000000,-1.000000,-1.000000
100,1773659931404,1773659931448,99.783241,-0.073174,-999999,-1.000000,-999999.000000,-160561801,-999999.000000,-1,-999999,-1.000000,120.000000,-1.000000,-1.000000,-1.000000
100,1773659931940,1773659931988,99.960083,-0.079968,-999999,-1.000000,-999999.000000,-160561261,-999999.000000,-1,-999999,-1.000000,120.000000,-1.000000,-1.000000,-1.000000
100,1773659932521,1773659932567,102.806671,-0.078818,-999999,-1.000000,-999999.000000,-160560682,-999999.000000,-1,-999999,-1.000000,120.000000,-1.000000,-1.000000,-1.000000
100,1773659933109,1773659933156,102.339119,-0.080166,-999999,-1.000000,-999999.000000,-160560093,-999999.000000,-1,-999999,-1.000000,120.000000,-1.000000,-1.000000,-1.000000
100,1773659933742,1773659933788,100.193901,-0.076815,-999999,-1.000000,-999999.000000,-160559461,-999999.000000,-1,-999999,-1.000000,120.000000,-1.000000,-1.000000,-1.000000
100,1773659934326,1773659934374,102.627869,-0.082102,-999999,-1.000000,-999999.000000,-160558875,-999999.000000,-1,-999999,-1.000000,120.000000,-1.000000,-1.000000,-1.000000
100,1773659935004,1773659935052,99.731117,-0.079785,-999999,-1.000000,-999999.000000,-160558197,-999999.000000,-1,-999999,-1.000000,120.000000,-1.000000,-1.000000,-1.000000
